timestamp,pid,working_set,private_bytes,handle_count,thread_count,cpu_ms,egress_443,otlp_4317_engine,otlp_4317_gateway
2026-09-25T00:48:11.2600579-07:00,44712,179220480,137633792,183,38,20078.125,0,3,
2026-09-25T00:48:16.6688843-07:00,44712,230961152,153493504,202,50,35390.625,0,3,2
2026-09-25T00:48:22.0237521-07:00,44712,240713728,161386496,203,50,42437.5,0,3,2
2026-09-25T00:48:27.3958750-07:00,44712,242237440,163491840,203,50,52437.5,0,3,2
2026-09-25T00:48:32.7644518-07:00,44712,242909184,165326848,203,47,59031.25,0,3,3
2026-09-25T00:48:38.1399534-07:00,44712,245334016,166248448,203,47,73828.125,0,3,3
2026-09-25T00:48:43.5193518-07:00,44712,245411840,166248448,203,47,80703.125,0,3,3
2026-09-25T00:48:48.8960013-07:00,44712,246210560,168931328,203,47,90890.625,0,3,3
2026-09-25T00:48:54.3586131-07:00,44712,236187648,155492352,202,47,104343.75,0,3,3
2026-09-25T00:48:59.8627182-07:00,44712,245526528,167047168,203,47,112078.125,0,3,3
2026-09-25T00:49:05.3203404-07:00,44712,248033280,168570880,203,48,121968.75,0,3,3
2026-09-25T00:49:10.7546821-07:00,44712,247468032,167518208,203,48,128546.875,0,3,3
2026-09-25T00:49:16.1762982-07:00,44712,248147968,169832448,203,48,143921.875,0,3,3
2026-09-25T00:49:21.5905643-07:00,44712,248107008,169832448,203,48,150812.5,0,3,3
2026-09-25T00:49:27.0598602-07:00,44712,249622528,172826624,203,48,161390.625,0,3,3
2026-09-25T00:49:32.5156406-07:00,44712,286613504,225218560,217,48,174843.75,0,3,3
2026-09-25T00:49:37.9489536-07:00,44712,246960128,167026688,203,48,183078.125,0,3,3
2026-09-25T00:49:43.4352923-07:00,44712,256086016,176709632,202,48,193750,0,3,3
2026-09-25T00:49:48.8787011-07:00,44712,247902208,168431616,203,48,200984.375,0,3,3
2026-09-25T00:49:54.3214211-07:00,44712,253628416,176222208,203,48,215453.125,0,3,3
2026-09-25T00:49:59.8322040-07:00,44712,253825024,176439296,203,48,222531.25,0,3,3
2026-09-25T00:50:05.2958106-07:00,44712,250241024,171442176,203,48,232437.5,0,3,3
2026-09-25T00:50:10.7998858-07:00,44712,282021888,213188608,217,48,246156.25,0,3,3
2026-09-25T00:50:16.2344391-07:00,44712,253566976,175808512,203,47,253890.625,0,3,3
2026-09-25T00:50:21.7041490-07:00,44712,251203584,173723648,203,47,264000,0,3,3
2026-09-25T00:50:27.1460364-07:00,44712,250699776,172797952,203,47,271156.25,0,3,3
2026-09-25T00:50:32.6010842-07:00,44712,249421824,170405888,203,47,284750,0,3,3
2026-09-25T00:50:38.0257863-07:00,44712,249462784,170405888,203,47,291750,0,3,3
2026-09-25T00:50:43.4449674-07:00,44712,254251008,176394240,203,47,301812.5,0,3,3
2026-09-25T00:50:48.9143244-07:00,44712,255430656,178028544,202,47,313593.75,0,3,3
2026-09-25T00:50:54.3437012-07:00,44712,251781120,173199360,203,47,323328.125,0,3,3
2026-09-25T00:50:59.8276452-07:00,44712,263802880,184610816,202,47,333234.375,0,3,3
2026-09-25T00:51:05.2293705-07:00,44712,250675200,171384832,203,47,340109.375,0,3,3
2026-09-25T00:51:10.6954948-07:00,44712,249880576,171069440,203,47,355421.875,0,3,3
2026-09-25T00:51:16.1269111-07:00,44712,250544128,172122112,203,47,362500,0,3,3
2026-09-25T00:51:21.5260490-07:00,44712,250687488,171675648,203,47,372531.25,0,3,3
2026-09-25T00:51:27.1526293-07:00,44712,250671104,171700224,203,47,383234.375,0,3,3
2026-09-25T00:51:32.5886765-07:00,44712,252616704,174485504,203,47,394453.125,0,3,3
2026-09-25T00:51:37.9969187-07:00,44712,267620352,188768256,202,47,404609.375,0,3,3
2026-09-25T00:51:43.4045062-07:00,44712,253779968,174391296,203,47,411875,0,3,3
2026-09-25T00:51:48.7943085-07:00,44712,255000576,178737152,203,47,426750,0,3,3
2026-09-25T00:51:54.1890744-07:00,44712,255021056,178761728,203,47,433750,0,3,3
2026-09-25T00:51:59.6408801-07:00,44712,253562880,174247936,203,47,444062.5,0,3,3
2026-09-25T00:52:05.2180649-07:00,44712,253571072,174252032,203,47,453265.625,0,3,3
2026-09-25T00:52:10.6368927-07:00,44712,253075456,174870528,203,47,465984.375,0,3,3
2026-09-25T00:52:16.0234836-07:00,44712,253648896,174948352,202,47,475468.75,0,3,3
2026-09-25T00:52:21.4230459-07:00,44712,254808064,176308224,203,47,483031.25,0,3,3
2026-09-25T00:52:26.8498991-07:00,44712,260714496,182849536,202,47,497734.375,0,3,3
2026-09-25T00:52:32.2183499-07:00,44712,254443520,176541696,203,47,504437.5,0,3,3
2026-09-25T00:52:37.6216927-07:00,44712,251334656,172220416,203,47,514546.875,0,3,3
2026-09-25T00:52:43.0020764-07:00,44712,251330560,172240896,203,47,521796.875,0,3,3
2026-09-25T00:52:48.3571067-07:00,44712,255844352,178163712,203,47,536390.625,0,3,3
2026-09-25T00:52:53.8184005-07:00,44712,285491200,215814144,217,47,545015.625,0,3,3
2026-09-25T00:52:59.1832685-07:00,44712,255791104,177602560,203,47,553109.375,0,3,3
2026-09-25T00:53:04.5718836-07:00,44712,252981248,174579712,202,49,567281.25,0,3,3
2026-09-25T00:53:09.9814966-07:00,44712,253894656,175468544,203,49,575031.25,0,3,3
2026-09-25T00:53:15.3777527-07:00,44712,255819776,177213440,203,49,585328.125,0,3,3
2026-09-25T00:53:20.7357430-07:00,44712,255901696,177262592,203,49,592015.625,0,3,3
2026-09-25T00:53:26.1104811-07:00,44712,256413696,178913280,203,49,606312.5,0,3,3
2026-09-25T00:53:31.4888905-07:00,44712,256692224,179253248,203,49,613296.875,0,3,3
2026-09-25T00:53:36.8669883-07:00,44712,255488000,177377280,203,49,623421.875,0,3,3
2026-09-25T00:53:42.2994109-07:00,44712,260911104,182657024,218,49,635937.5,0,3,3
2026-09-25T00:53:47.6782778-07:00,44712,252387328,172883968,203,49,644765.625,0,3,3
2026-09-25T00:53:53.0837348-07:00,44712,253132800,173371392,202,49,654781.25,0,3,3
2026-09-25T00:53:58.5151216-07:00,44712,252166144,172343296,203,49,661953.125,0,3,3
2026-09-25T00:54:03.9492137-07:00,44712,254357504,176529408,203,49,676687.5,0,3,3
2026-09-25T00:54:09.3655533-07:00,44712,253792256,175509504,203,49,683281.25,0,3,3
2026-09-25T00:54:14.7724186-07:00,44712,256716800,181006336,203,49,693375,0,3,3
2026-09-25T00:54:20.4546501-07:00,44712,284475392,212975616,218,49,705265.625,0,3,3
2026-09-25T00:54:25.8942828-07:00,44712,255422464,176414720,203,49,714031.25,0,3,3
2026-09-25T00:54:31.3596487-07:00,44712,260988928,184061952,202,49,724312.5,0,3,3
2026-09-25T00:54:36.8704222-07:00,44712,256864256,179798016,203,49,731140.625,0,3,3
2026-09-25T00:54:42.3389576-07:00,44712,255524864,177569792,203,49,745125,0,3,3
2026-09-25T00:54:47.7748246-07:00,44712,255516672,177537024,203,47,751765.625,0,3,3
2026-09-25T00:54:53.2134110-07:00,44712,255418368,176889856,203,47,761625,0,3,3
2026-09-25T00:54:58.7881335-07:00,44712,261701632,182546432,203,47,773515.625,0,3,3
2026-09-25T00:55:04.2110954-07:00,44712,255991808,178577408,203,47,783796.875,0,3,3
2026-09-25T00:55:09.6601657-07:00,44712,255365120,177274880,202,47,793687.5,0,3,3
2026-09-25T00:55:15.0862619-07:00,44712,256139264,178298880,203,47,801015.625,0,3,3
2026-09-25T00:55:20.6483311-07:00,44712,259125248,180723712,202,47,815953.125,0,3,3
2026-09-25T00:55:26.0731141-07:00,44712,254951424,176472064,203,47,823234.375,0,3,3
2026-09-25T00:55:31.5169591-07:00,44712,254857216,176971776,203,47,833437.5,0,3,3
2026-09-25T00:55:36.9115829-07:00,44712,254255104,175943680,202,47,840562.5,0,3,3
2026-09-25T00:55:42.3054405-07:00,44712,254894080,176988160,203,47,854921.875,0,3,3
2026-09-25T00:55:47.7346256-07:00,44712,252899328,173948928,202,47,863703.125,0,3,3
2026-09-25T00:55:53.1219795-07:00,44712,254148608,175001600,203,47,871906.25,0,3,3
2026-09-25T00:55:58.5075708-07:00,44712,259608576,181686272,202,47,885812.5,0,3,3
2026-09-25T00:56:03.9299477-07:00,44712,255541248,177659904,203,47,892812.5,0,3,3
2026-09-25T00:56:09.3254480-07:00,44712,257425408,179253248,203,47,902593.75,0,3,3
2026-09-25T00:56:14.7335586-07:00,44712,258129920,180400128,203,47,909515.625,0,3,3
2026-09-25T00:56:20.1863153-07:00,44712,261300224,183803904,203,47,924218.75,0,3,3
2026-09-25T00:56:25.6172406-07:00,44712,299487232,236969984,217,47,933296.875,0,3,3
2026-09-25T00:56:31.0092318-07:00,44712,260370432,182140928,203,47,941718.75,0,3,3
2026-09-25T00:56:36.3979382-07:00,44712,254705664,176431104,202,47,956390.625,0,3,3
2026-09-25T00:56:41.7809832-07:00,44712,255111168,176746496,203,47,963781.25,0,3,3
2026-09-25T00:56:47.1739298-07:00,44712,252600320,173051904,203,47,973031.25,0,3,3
2026-09-25T00:56:52.6003850-07:00,44712,253325312,174206976,203,47,980187.5,0,3,3
2026-09-25T00:56:57.9581226-07:00,44712,254857216,176226304,203,47,995000,0,3,3
2026-09-25T00:57:03.4036922-07:00,44712,295710720,233459712,216,47,1004062.5,0,3,3
2026-09-25T00:57:08.7758759-07:00,44712,252456960,173236224,203,47,1012562.5,0,3,3
2026-09-25T00:57:14.1369445-07:00,44712,252317696,172822528,202,47,1026281.25,0,3,3
2026-09-25T00:57:19.5014427-07:00,44712,252428288,172437504,203,47,1033812.5,0,3,3
2026-09-25T00:57:24.8845913-07:00,44712,252981248,173355008,203,47,1043750,0,3,3
2026-09-25T00:57:30.3052854-07:00,44712,253067264,173432832,203,47,1050515.625,0,3,3
2026-09-25T00:57:35.6642335-07:00,44712,256618496,178757632,203,47,1064875,0,3,3
2026-09-25T00:57:41.0280178-07:00,44712,256589824,178761728,203,47,1071468.75,0,3,3
2026-09-25T00:57:46.3761415-07:00,44712,255299584,177336320,203,47,1081046.875,0,3,3
2026-09-25T00:57:51.7309353-07:00,44712,253227008,175087616,202,47,1094265.625,0,3,3
2026-09-25T00:57:57.0974279-07:00,44712,255352832,177401856,203,47,1102062.5,0,3,3
2026-09-25T00:58:02.4874704-07:00,44712,259547136,180826112,202,48,1112250,0,3,3
2026-09-25T00:58:07.8646529-07:00,44712,255021056,176070656,203,48,1119031.25,0,3,3
2026-09-25T00:58:13.2971332-07:00,44712,267567104,188530688,202,48,1133890.625,0,3,3
2026-09-25T00:58:18.6917848-07:00,44712,254152704,175099904,203,48,1141140.625,0,3,3
2026-09-25T00:58:24.1643198-07:00,44712,260739072,183238656,203,48,1151312.5,0,3,3
2026-09-25T00:58:29.7731611-07:00,44712,261451776,184328192,203,48,1158140.625,0,3,3
2026-09-25T00:58:35.3157692-07:00,44712,254853120,176971776,203,48,1172687.5,0,3,3
2026-09-25T00:58:41.1505876-07:00,44712,254885888,176992256,203,48,1181640.625,0,3,3
2026-09-25T00:58:46.7971790-07:00,44712,255422464,177262592,203,48,1190218.75,0,3,3
2026-09-25T00:58:52.4953666-07:00,44712,261750784,184496128,202,48,1204328.125,0,3,3
2026-09-25T00:58:58.1979751-07:00,44712,262246400,184930304,203,48,1211968.75,0,3,3
2026-09-25T00:59:03.9677644-07:00,44712,259403776,181714944,203,48,1223156.25,0,3,3
2026-09-25T00:59:09.7693341-07:00,44712,259452928,181727232,203,48,1230656.25,0,3,3
2026-09-25T00:59:15.6211012-07:00,44712,258756608,181342208,203,47,1246187.5,0,3,3
2026-09-25T00:59:21.7007099-07:00,44712,258764800,181362688,203,47,1256015.625,0,3,3
2026-09-25T00:59:27.7345841-07:00,44712,256630784,178515968,203,47,1265078.125,0,3,3
2026-09-25T00:59:33.8052811-07:00,44712,258543616,181653504,202,47,1281015.625,0,3,3
2026-09-25T00:59:39.8521960-07:00,44712,256458752,177692672,203,47,1288671.875,0,3,3
2026-09-25T00:59:45.9698536-07:00,44712,258150400,181358592,203,47,1298890.625,0,3,3
2026-09-25T00:59:52.2973744-07:00,44712,262606848,184426496,218,47,1314453.125,0,3,3
2026-09-25T00:59:58.4634938-07:00,44712,255119360,175648768,203,47,1323906.25,0,3,3
2026-09-25T01:00:04.6816536-07:00,44712,255725568,176889856,203,47,1335187.5,0,3,3
2026-09-25T01:00:11.3838653-07:00,44712,255193088,175906816,202,47,1348968.75,0,3,3
