timestamp,pid,working_set,private_bytes,handle_count,thread_count,cpu_ms,egress_443,otlp_4317_engine,otlp_4317_gateway
2026-09-25T14:22:54.2730938-07:00,40276,180744192,139104256,180,39,19406.25,0,3,
2026-09-25T14:22:59.9144232-07:00,40276,241815552,162013184,208,55,34140.625,0,3,2
2026-09-25T14:23:05.5038933-07:00,40276,242741248,163065856,208,55,42375,0,3,2
2026-09-25T14:23:11.1363108-07:00,40276,242413568,164044800,208,55,49937.5,0,3,3
2026-09-25T14:23:16.6955132-07:00,40276,240136192,160821248,172,17,56406.25,0,3,3
2026-09-25T14:23:22.2426243-07:00,40276,243695616,164937728,193,37,69828.125,0,3,3
2026-09-25T14:23:27.8115413-07:00,40276,270610432,199127040,207,37,78343.75,0,3,3
2026-09-25T14:23:33.3597214-07:00,40276,244043776,164499456,193,37,85781.25,0,3,3
2026-09-25T14:23:38.9709224-07:00,40276,258654208,179638272,192,37,99468.75,0,3,3
2026-09-25T14:23:44.6071549-07:00,40276,247713792,168312832,193,37,105968.75,0,3,3
2026-09-25T14:23:50.1825722-07:00,40276,247689216,168591360,193,37,115562.5,0,3,3
2026-09-25T14:23:55.7957275-07:00,40276,290840576,232460288,208,37,126453.125,0,3,3
2026-09-25T14:24:01.4451450-07:00,40276,248086528,168927232,193,37,134937.5,0,3,3
2026-09-25T14:24:06.9946460-07:00,40276,247234560,166793216,193,37,144015.625,0,3,3
2026-09-25T14:24:12.5032355-07:00,40276,249053184,168656896,193,37,150421.875,0,3,3
2026-09-25T14:24:18.0819373-07:00,40276,249892864,170823680,193,37,163671.875,0,3,3
2026-09-25T14:24:23.6731441-07:00,40276,247496704,167190528,203,37,172296.875,0,3,3
2026-09-25T14:24:29.2380408-07:00,40276,250077184,170442752,193,37,179750,0,3,3
2026-09-25T14:24:34.8170527-07:00,40276,247922688,167526400,193,37,192421.875,0,3,3
2026-09-25T14:24:40.4559032-07:00,40276,248860672,168595456,193,37,198640.625,0,3,3
2026-09-25T14:24:46.1019874-07:00,40276,254939136,176930816,193,37,208015.625,0,3,3
2026-09-25T14:24:51.9891742-07:00,40276,255553536,177885184,206,37,220250,0,3,3
2026-09-25T14:24:57.5896437-07:00,40276,250273792,170373120,193,37,227734.375,0,3,3
2026-09-25T14:25:03.2711816-07:00,40276,249024512,168607744,193,37,237312.5,0,3,3
2026-09-25T14:25:08.9756640-07:00,40276,250421248,170483712,193,37,243937.5,0,3,3
2026-09-25T14:25:14.5813046-07:00,40276,250343424,170528768,193,37,257843.75,0,3,3
2026-09-25T14:25:20.2436385-07:00,40276,276889600,205115392,208,37,266781.25,0,3,3
2026-09-25T14:25:25.8744318-07:00,40276,257359872,179785728,193,37,273953.125,0,3,3
2026-09-25T14:25:31.5573186-07:00,40276,252784640,172462080,192,37,287968.75,0,3,3
2026-09-25T14:25:37.1911862-07:00,40276,250310656,169623552,193,37,294515.625,0,3,3
2026-09-25T14:25:42.8479680-07:00,40276,257417216,178892800,193,37,304171.875,0,3,3
2026-09-25T14:25:48.6619861-07:00,40276,284188672,215400448,207,37,317171.875,0,3,3
2026-09-25T14:25:54.3976963-07:00,40276,254267392,174759936,193,37,324656.25,0,3,3
2026-09-25T14:26:00.1253590-07:00,40276,251068416,170967040,193,37,333921.875,0,3,3
2026-09-25T14:26:05.8871214-07:00,40276,252080128,171868160,193,37,340500,0,3,3
2026-09-25T14:26:11.6072117-07:00,40276,253935616,174710784,193,37,353671.875,0,3,3
2026-09-25T14:26:17.3058227-07:00,40276,256671744,178761728,192,37,363171.875,0,3,3
2026-09-25T14:26:23.0345391-07:00,40276,257277952,179191808,193,37,369859.375,0,3,3
2026-09-25T14:26:28.7474279-07:00,40276,251248640,170942464,193,37,384015.625,0,3,3
2026-09-25T14:26:34.4655470-07:00,40276,252665856,172462080,193,37,391906.25,0,3,3
2026-09-25T14:26:40.1334356-07:00,40276,251940864,171429888,193,37,399000,0,3,3
2026-09-25T14:26:45.8213748-07:00,40276,251273216,170881024,193,37,411687.5,0,3,3
