timestamp,pid,working_set,private_bytes,handle_count,thread_count,cpu_ms,egress_443,otlp_4317_engine,otlp_4317_gateway
2026-09-25T12:22:21.9951939-07:00,38016,178536448,136744960,187,41,20359.375,0,3,
2026-09-25T12:22:27.5821653-07:00,38016,232984576,156971008,219,67,35328.125,0,3,2
2026-09-25T12:22:33.1448962-07:00,38016,242761728,163684352,220,67,41812.5,0,3,2
2026-09-25T12:22:38.6974343-07:00,38016,245317632,167419904,220,67,51578.125,0,3,3
2026-09-25T12:22:44.4748259-07:00,38016,245424128,167342080,219,64,58968.75,0,3,3
2026-09-25T12:22:50.0852186-07:00,38016,250101760,171462656,220,64,72234.375,0,3,3
2026-09-25T12:22:55.6588265-07:00,38016,244150272,165560320,219,64,80593.75,0,3,3
2026-09-25T12:23:01.3623593-07:00,38016,250978304,172392448,220,64,87953.125,0,3,3
2026-09-25T12:23:06.9456239-07:00,38016,261312512,182960128,219,64,101921.875,0,3,3
2026-09-25T12:23:12.8404723-07:00,38016,248176640,169488384,220,64,108484.375,0,3,3
2026-09-25T12:23:19.6907166-07:00,38016,247676928,168632320,220,64,117859.375,0,3,3
2026-09-25T12:23:26.5068771-07:00,38016,265891840,190554112,234,64,132171.875,0,3,3
2026-09-25T12:23:33.2250120-07:00,38016,250118144,170295296,220,64,139468.75,0,3,3
2026-09-25T12:23:39.8540635-07:00,38016,252055552,173056000,220,64,150296.875,0,3,3
2026-09-25T12:23:46.5922229-07:00,38016,252043264,174796800,219,64,164031.25,0,3,3
2026-09-25T12:23:53.5521776-07:00,38016,251281408,172003328,220,64,171312.5,0,3,3
2026-09-25T12:24:00.9733169-07:00,38016,250478592,171384832,220,64,182796.875,0,3,3
2026-09-25T12:24:08.2866014-07:00,38016,249143296,171225088,219,64,198250,0,3,3
2026-09-25T12:24:15.5529069-07:00,38016,252850176,174702592,220,64,208656.25,0,3,3
2026-09-25T12:24:23.8993172-07:00,38016,252493824,174084096,220,64,219125,0,3,3
2026-09-25T12:24:32.4287026-07:00,38016,251052032,171319296,220,64,232750,0,3,3
2026-09-25T12:24:39.9667727-07:00,38016,258826240,182345728,220,67,244453.125,0,3,3
2026-09-25T12:24:47.8197902-07:00,38016,259493888,180875264,234,67,261546.875,0,3,3
2026-09-25T12:24:55.8530250-07:00,38016,258412544,181313536,220,67,272406.25,0,3,3
2026-09-25T12:25:03.9356125-07:00,38016,253808640,174411776,220,67,282765.625,0,3,3
2026-09-25T12:25:11.9586700-07:00,38016,252809216,173522944,220,67,299343.75,0,3,3
2026-09-25T12:25:19.8324658-07:00,38016,253394944,174022656,220,67,310781.25,0,3,3
2026-09-25T12:25:27.6775883-07:00,38016,261685248,182976512,219,67,327406.25,0,3,3
2026-09-25T12:25:35.5122169-07:00,38016,259289088,181682176,220,67,337921.875,0,3,3
2026-09-25T12:25:43.5677857-07:00,38016,256425984,178737152,220,67,347171.875,0,3,3
2026-09-25T12:25:51.4768451-07:00,38016,260599808,182616064,220,67,363125,0,3,3
2026-09-25T12:25:58.9026213-07:00,38016,266956800,189591552,219,67,374078.125,0,3,3
2026-09-25T12:26:06.5308682-07:00,38016,311992320,267988992,234,67,388765.625,0,3,3
2026-09-25T12:26:13.8336357-07:00,38016,258641920,180482048,220,67,396734.375,0,3,3
2026-09-25T12:26:20.9870873-07:00,38016,252895232,172892160,220,67,407812.5,0,3,3
2026-09-25T12:26:28.0564082-07:00,38016,266178560,189280256,219,67,423218.75,0,3,3
2026-09-25T12:26:35.2505745-07:00,38016,261390336,183967744,220,67,433953.125,0,3,3
2026-09-25T12:26:42.5613619-07:00,38016,254672896,175644672,220,67,442281.25,0,3,3
2026-09-25T12:26:49.4536407-07:00,38016,261275648,185647104,220,67,457875,0,3,3
2026-09-25T12:26:57.7263169-07:00,38016,266399744,190488576,235,67,465906.25,0,3,3
2026-09-25T12:27:07.4938731-07:00,38016,259805184,182329344,220,67,475765.625,0,3,3
2026-09-25T12:27:15.7278264-07:00,38016,254455808,175083520,220,67,487390.625,0,3,3
2026-09-25T12:27:23.8918328-07:00,38016,274939904,199249920,219,67,499000,0,3,3
2026-09-25T12:27:32.0453021-07:00,38016,274350080,209530880,235,67,515984.375,0,3,3
2026-09-25T12:27:40.5134930-07:00,38016,254660608,176062464,220,67,525828.125,0,3,3
2026-09-25T12:27:48.8783937-07:00,38016,255270912,176640000,220,66,536671.875,0,3,3
2026-09-25T12:27:57.4632409-07:00,38016,273334272,195620864,219,66,553750,0,3,3
2026-09-25T12:28:06.6283931-07:00,38016,283119616,211333120,202,35,564453.125,0,3,3
2026-09-25T12:28:14.9960159-07:00,38016,257155072,179896320,189,35,578578.125,0,3,3
2026-09-25T12:28:23.5589298-07:00,38016,260866048,182620160,200,46,590265.625,0,3,3
2026-09-25T12:28:32.0820661-07:00,38016,259555328,180506624,200,46,602796.875,0,3,3
2026-09-25T12:28:40.8746423-07:00,38016,255320064,177926144,199,46,620125,0,3,3
2026-09-25T12:28:49.4347167-07:00,38016,258072576,181080064,200,46,633109.375,0,3,3
2026-09-25T12:28:57.3532737-07:00,38016,257634304,178843648,200,44,644968.75,0,3,3
2026-09-25T12:29:05.2714679-07:00,38016,259854336,181309440,200,44,658265.625,0,3,3
2026-09-25T12:29:13.4168038-07:00,38016,257970176,179068928,200,44,669968.75,0,3,3
2026-09-25T12:29:21.1558578-07:00,38016,261648384,183255040,215,44,686593.75,0,3,3
2026-09-25T12:29:29.0104412-07:00,38016,261632000,183537664,200,44,696750,0,3,3
2026-09-25T12:29:36.6463922-07:00,38016,261029888,182640640,200,44,705312.5,0,3,3
2026-09-25T12:29:44.2474179-07:00,38016,263143424,186273792,200,44,721453.125,0,3,3
2026-09-25T12:29:51.6624276-07:00,38016,259747840,182001664,199,44,733718.75,0,3,3
2026-09-25T12:29:59.3407767-07:00,38016,255787008,175656960,200,44,749812.5,0,3,3
2026-09-25T12:30:06.5287502-07:00,38016,255053824,174886912,200,44,758203.125,0,3,3
2026-09-25T12:30:13.8253373-07:00,38016,255352832,175083520,200,44,769546.875,0,3,3
2026-09-25T12:30:20.9544762-07:00,38016,253181952,172810240,199,44,786296.875,0,3,3
2026-09-25T12:30:28.0665896-07:00,38016,255524864,175165440,200,44,796281.25,0,3,3
2026-09-25T12:30:35.2168915-07:00,38016,254488576,173887488,200,44,804859.375,0,3,3
2026-09-25T12:30:42.0643488-07:00,38016,254877696,174772224,200,44,820328.125,0,3,3
