unix_ms,working_set_bytes,private_bytes,handle_count,thread_count
1790265112601,230719488,177930240,228,42
1790265113612,231034880,178278400,228,42
1790265114625,255389696,215982080,244,42
1790265115632,233586688,181608448,228,42
1790265116647,243875840,192778240,228,42
1790265117666,255143936,220352512,244,42
1790265118688,249384960,212439040,230,42
1790265119706,243281920,190709760,228,42
1790265120717,209891328,158740480,228,42
1790265121737,231235584,178872320,228,42
1790265122762,267907072,225013760,244,42
1790265123777,244314112,201179136,244,42
1790265124784,214020096,161935360,252,42
1790265125796,225513472,172490752,228,42
1790265126823,255856640,219295744,244,42
1790265127836,211001344,159535104,241,42
1790265128856,213880832,162062336,229,42
1790265129878,249966592,214327296,243,42
1790265130894,218836992,171155456,228,42
1790265131902,261574656,224133120,244,42
1790265132911,250216448,214573056,242,42
1790265133920,228020224,176259072,228,42
1790265134934,248123392,210333696,244,42
1790265135950,212557824,160206848,228,42
1790265136973,257810432,222052352,243,42
1790265137995,213655552,162668544,244,42
1790265139016,227483648,174981120,228,42
1790265140034,245927936,207052800,244,42
1790265141052,212791296,161357824,228,42
1790265142063,256479232,231940096,243,42
1790265143082,249458688,212189184,244,42
1790265144101,235134976,182247424,228,42
1790265145114,269402112,239423488,244,42
1790265146147,258314240,221822976,244,42
1790265147160,252891136,215273472,243,42
1790265148180,237694976,185778176,228,42
1790265149201,259051520,223916032,244,42
1790265150221,243601408,202129408,243,42
1790265151236,235180032,184610816,228,42
1790265152250,234811392,181911552,228,42
1790265153265,261169152,228413440,243,42
1790265154282,256057344,217526272,243,42
1790265155298,239960064,186892288,228,42
1790265156311,264617984,229597184,244,42
1790265157326,252575744,218021888,242,42
1790265158339,217292800,165232640,228,42
1790265159355,261566464,233807872,243,42
1790265160376,246435840,205262848,243,42
1790265161394,216743936,165412864,228,42
1790265162400,255643648,224649216,244,42
1790265163407,231321600,179081216,228,42
1790265164415,231321600,179081216,228,42
1790265165437,231321600,179081216,228,42
1790265166447,231321600,179081216,228,42
1790265167467,231346176,179138560,228,42
1790265168483,231387136,179077120,228,41
1790265169490,231387136,179183616,228,41
1790265170499,231342080,179150848,228,41
1790265171517,231268352,179216384,227,40
1790265172522,192294912,138481664,203,15
