unix_ms,working_set_bytes,private_bytes,handle_count,thread_count
1790265360916,260845568,189128704,228,42
1790265361936,282742784,219648000,243,42
1790265362955,251199488,177262592,243,42
1790265363966,302239744,244752384,243,42
1790265364989,290742272,238559232,243,42
1790265366007,252907520,180424704,228,42
1790265367029,251887616,178655232,244,42
1790265368041,247132160,173219840,244,42
1790265369074,293371904,235208704,243,42
1790265370085,250531840,177602560,229,42
1790265371102,250273792,177246208,228,42
1790265372119,266969088,204468224,244,42
1790265373137,250417152,176676864,240,42
1790265374161,286064640,218730496,244,42
1790265375178,297873408,252219392,243,42
1790265376199,249044992,174424064,228,42
1790265377219,279248896,205516800,243,42
1790265378226,247492608,172650496,243,42
1790265379241,295563264,238014464,244,42
1790265380262,294268928,235933696,244,42
1790265381283,248680448,174256128,228,42
1790265382306,284532736,226467840,244,42
1790265383320,247140352,172859392,241,42
1790265384339,289914880,225402880,243,42
1790265385351,254513152,183562240,228,42
1790265386366,254267392,180015104,228,42
1790265387381,297955328,238043136,244,42
1790265388391,250798080,178819072,228,42
1790265389411,252551168,178171904,243,42
1790265390422,291655680,234127360,243,42
1790265391433,294273024,243662848,244,42
1790265392449,252395520,178257920,228,42
1790265393462,281300992,221696000,244,42
1790265394476,247390208,172494848,231,42
1790265395500,299540480,248598528,244,42
1790265396526,303046656,252739584,243,42
1790265397532,251871232,178360320,228,42
1790265398553,279945216,220811264,243,42
1790265399562,250621952,176852992,243,42
1790265400585,285159424,223408128,243,42
1790265401601,299220992,248909824,244,42
1790265402622,251269120,177176576,228,42
1790265403637,287490048,234344448,244,42
1790265404646,251813888,177823744,228,42
1790265405662,299597824,243396608,244,42
1790265406673,267493376,194256896,228,42
1790265407681,247422976,173318144,228,42
1790265408692,252919808,179478528,228,42
1790265409714,246677504,171966464,243,42
1790265410734,292761600,224448512,243,42
1790265411754,296026112,254623744,243,42
1790265412775,249569280,176693248,228,42
1790265413791,282599424,225009664,244,42
1790265414799,246697984,172015616,241,42
1790265415827,295718912,241291264,244,42
1790265416838,265748480,194551808,228,42
1790265417846,288129024,232587264,244,42
1790265418858,272048128,197849088,243,42
1790265419872,248299520,173465600,228,42
1790265420893,298254336,234766336,243,42
1790265421913,261603328,189599744,228,42
1790265422925,294404096,237342720,244,42
1790265423940,249831424,175595520,244,42
1790265424963,291524608,225120256,244,42
1790265425979,290971648,239206400,244,42
1790265426998,248692736,174022656,228,42
1790265428010,249073664,175566848,244,42
1790265429024,247513088,172920832,244,42
1790265430035,298872832,238977024,243,42
1790265431056,256970752,184459264,228,42
1790265432076,249663488,175308800,228,42
1790265433095,271814656,196710400,228,42
1790265434115,247468032,172404736,243,42
1790265435131,292048896,235761664,244,42
1790265436150,250249216,176664576,228,42
1790265437158,250118144,177332224,244,42
1790265438165,249692160,175628288,228,42
1790265439176,267743232,193495040,244,42
1790265440200,302182400,236691456,243,42
1790265441218,292171776,230543360,243,42
1790265442232,251432960,178114560,228,42
1790265443240,270147584,208666624,244,42
1790265444251,248360960,173559808,242,42
1790265445263,302415872,242094080,244,42
1790265446281,254054400,182046720,228,42
1790265447288,252862464,179212288,244,42
1790265448298,286314496,219234304,244,42
1790265449314,258555904,185409536,228,42
1790265450333,278315008,209940480,242,42
1790265451343,246767616,172171264,241,42
1790265452357,303390720,238002176,244,42
1790265453367,258334720,184041472,228,42
1790265454403,300965888,251248640,240,42
1790265455426,249405440,174919680,228,42
1790265456445,251756544,178831360,243,42
1790265457471,290308096,228085760,243,42
1790265458488,263036928,188280832,228,42
1790265459495,288698368,226873344,240,42
1790265460518,267730944,194506752,243,42
1790265461525,248401920,173813760,244,42
1790265462544,292065280,227205120,244,42
1790265463559,266665984,193159168,228,42
1790265464572,251879424,179494912,228,42
1790265465580,247648256,175112192,243,42
1790265466600,300908544,237043712,243,42
1790265467621,301248512,250949632,243,42
1790265468632,258224128,183857152,228,42
1790265469647,281387008,219664384,243,42
1790265470663,248078336,175042560,244,42
1790265471670,292327424,232112128,243,42
1790265472686,290230272,225009664,244,42
1790265473702,262258688,192049152,228,42
1790265474712,293568512,240488448,243,42
1790265475732,252375040,178184192,244,42
1790265476751,286957568,225959936,228,42
1790265477764,290111488,236589056,244,42
1790265478776,250945536,176521216,228,42
1790265479787,283824128,214253568,244,42
1790265480796,251039744,177336320,244,44
1790265481806,292491264,234106880,243,44
1790265482824,291831808,234409984,244,44
1790265483845,258527232,187072512,228,44
1790265484870,291733504,234098688,244,44
1790265485891,248897536,174358528,228,44
1790265486916,310976512,254115840,243,44
1790265487925,296099840,232927232,244,44
1790265488931,252125184,178216960,228,44
1790265489941,276865024,216043520,243,44
1790265490963,250314752,177242112,244,44
1790265491973,288378880,222683136,244,44
1790265492997,297635840,253362176,243,44
1790265494011,258711552,187383808,228,44
1790265495022,289386496,234803200,244,44
1790265496040,254185472,180047872,243,44
1790265497064,297787392,235024384,244,44
1790265498078,265134080,192106496,228,44
1790265499088,297148416,240050176,243,44
1790265500095,250048512,176357376,228,44
1790265501109,251154432,176295936,243,44
1790265502119,290217984,227393536,244,44
1790265503141,265093120,192204800,228,44
1790265504163,292888576,237080576,243,44
1790265505173,252252160,177623040,243,44
1790265506200,314195968,260788224,244,44
1790265507214,255614976,182669312,228,44
1790265508234,249966592,177049600,228,44
1790265509244,248180736,173318144,244,44
1790265510255,297521152,240975872,243,44
1790265511273,254640128,180064256,228,44
1790265512297,279412736,209281024,243,44
1790265513315,252104704,178167808,244,44
1790265514328,285302784,218050560,243,44
1790265515337,259616768,187641856,228,44
1790265516347,281767936,215826432,242,44
1790265517370,250630144,176521216,243,44
1790265518385,285847552,218087424,243,44
1790265519410,296820736,232964096,244,44
1790265520429,252973056,179838976,228,44
1790265521441,275775488,214749184,243,44
1790265522450,252448768,179167232,244,44
1790265523459,291192832,232189952,243,44
1790265524479,300253184,247808000,244,44
1790265525497,256274432,182853632,228,44
1790265526521,276656128,210669568,244,44
1790265527540,249585664,175861760,229,44
1790265528549,293109760,226512896,244,44
1790265529561,296579072,250081280,244,44
1790265530580,255504384,181014528,228,44
1790265531592,278294528,216956928,244,44
1790265532602,250544128,177229824,243,44
1790265533626,297123840,242352128,244,44
1790265534652,305344512,259440640,244,44
1790265535665,259104768,189579264,228,44
1790265536687,286912512,225316864,243,44
1790265537710,247070720,172036096,228,44
1790265538719,311443456,262107136,243,44
1790265539731,298643456,239136768,244,44
1790265540740,249569280,174772224,228,44
1790265541767,284000256,224993280,243,44
1790265542786,251195392,176414720,244,44
1790265543798,292012032,229183488,244,44
1790265544809,257847296,185475072,228,44
1790265545832,293113856,234545152,242,44
1790265546852,249548800,174809088,229,44
1790265547874,309493760,251953152,243,44
1790265548897,298553344,241147904,243,44
1790265549916,250077184,176533504,228,44
1790265550925,273571840,198443008,229,44
1790265551944,253816832,181092352,243,44
1790265552955,294621184,232591360,242,44
1790265553974,249360384,174428160,228,44
1790265554987,247726080,172937216,247,44
1790265556008,248909824,175493120,243,44
1790265557027,250183680,175292416,243,44
1790265558039,304824320,240209920,244,44
1790265559056,267550720,194383872,228,44
1790265560076,255913984,182886400,228,44
1790265561092,252547072,178003968,228,44
1790265562115,247361536,172224512,243,44
1790265563135,308281344,255528960,243,44
1790265564157,252915712,180285440,234,44
1790265565166,294248448,236838912,242,44
1790265566178,272519168,197373952,237,44
1790265567200,294109184,224845824,243,44
1790265568207,251990016,177553408,228,44
1790265569229,290103296,231211008,243,44
1790265570236,248225792,175394816,244,44
1790265571248,295194624,228401152,243,44
1790265572274,291291136,230887424,244,44
1790265573292,258740224,184664064,228,44
1790265574313,252690432,178745344,228,44
1790265575330,252690432,178745344,228,44
1790265576339,252690432,178745344,228,44
1790265577360,252706816,178745344,228,44
1790265578381,252706816,178745344,228,44
1790265579394,252743680,178683904,228,43
1790265580407,252743680,178683904,228,43
1790265581418,252743680,178712576,228,43
1790265582437,252702720,178638848,228,41
1790265583459,252628992,178601984,227,40
